url,label
https://w3llsf4rg0-portal.site/update-kyc,1
https://portal-ubl.com.surf/auth?redirect=https://ubl.com,1
https://portal-paypal.com.online/auth?redirect=https://paypal.com,1
http://secure-login.metamask.account-update.work/claim-reward?token=918122,1
https://micr0s0ft-portal.gq/update-kyc,1
https://bankofamerica-verify-security.live/login,1
https://n4dr4-portal.cam/claim-reward,1
http://35.117.64.116/ehsaas/unlock-card,1
http://41.252.160.218/telegram/portal/security,1
http://secure-login.microsoft.account-update.vip/unlock-card?token=231202,1
http://124.11.7.54/fbr/sync-wallet,1
https://coinbase-verify-security.zip/2fa-verification,1
http://155.236.237.173/mcb/2fa-verification,1
https://m3t4m4sk-portal.info/reset-password,1
https://portal-jazzcash.com.club/auth?redirect=https://jazzcash.com,1
http://secure-login.paypal.account-update.link/2fa-verification?token=297569,1
https://micr0s0ft-portal.loan/dispute-resolution,1
https://portal-mcb.com.work/auth?redirect=https://mcb.com,1
https://3hs44s-portal.top/sync-wallet,1
http://secure-login.metamask.account-update.tk/sync-wallet?token=146708,1
https://ch4s3-portal.work/portal/security,1
https://portal-pta.com.vip/auth?redirect=https://pta.com,1
https://coinbase-verify-security.work/secure-gateway,1
https://portal-hbl.com.click/auth?redirect=https://hbl.com,1
http://secure-login.ubl.account-update.gq/unlock-card?token=525295,1
http://148.170.47.64/ehsaas/sync-wallet,1
http://20.214.84.148/netflix/confirm-pin,1
http://secure-login.hbl.account-update.live/sync-wallet?token=380649,1
http://77.129.44.96/fbr/secure-gateway,1
https://ubl-portal.work/sync-wallet,1
https://netflix-verify-security.xyz/otp-validation,1
http://secure-login.fia.account-update.rest/otp-validation?token=557947,1
https://g00gl3-portal.click/2fa-verification,1
http://127.241.146.141/instagram/dispute-resolution,1
http://59.157.251.145/microsoft/unlock-card,1
http://secure-login.coinbase.account-update.cf/portal/security?token=124082,1
http://secure-login.mcb.account-update.info/portal/security?token=196496,1
http://30.123.27.154/apple/withdraw-funds,1
http://60.17.133.222/easypaisa/unlock-card,1
http://secure-login.wellsfargo.account-update.gq/portal/security?token=635804,1
https://hbl-portal.rest/secure-gateway,1
https://google-verify-security.live/withdraw-funds,1
https://wh4ts4pp-portal.live/unlock-card,1
https://g00gl3-portal.loan/dispute-resolution,1
http://secure-login.bankofamerica.account-update.club/login?token=360447,1
https://g00gl3-portal.xyz/unlock-card,1
http://170.240.154.50/coinbase/auth-session,1
http://167.23.19.23/jazzcash/secure-gateway,1
http://secure-login.fbr.account-update.top/login?token=569375,1
https://easypaisa-verify-security.tk/withdraw-funds,1
https://p4yp4l-portal.live/verify-account,1
https://portal-binance.com.online/auth?redirect=https://binance.com,1
http://secure-login.nayapay.account-update.click/login?token=178055,1
