text,label,category
"Executive Wire Request: Transfer $12,500 to our contractor account right now before close of business. Keep this strictly confidential.",1,SOCIAL_ENGINEERING
HR Department Notice: Your monthly payroll bonus and stipend has been approved. Download the employee verification document: https://security-jazzcash.online/auth,1,SOCIAL_ENGINEERING
"Congratulations! You won the 2026 Global Tech Giveaway lottery of $50,000. Send your identity details and claim fee here: https://security-jazzcash.surf/auth",1,SOCIAL_ENGINEERING
Help me please! I lost my phone in an emergency accident and I am stranded at the hospital. Send money to my account immediately!,1,SOCIAL_ENGINEERING
Final Warning: Internal Revenue / FIA penalty of $500 issued against your CNIC. Pay fine within 2 hours to avoid arrest warrant: https://security-meezanbank.click/auth,1,SOCIAL_ENGINEERING
"Security Alert: A new device logged into your Internal IT profile from Moscow. If this was not you, confirm your credentials immediately: https://security-bisp.rest/auth",1,SOCIAL_ENGINEERING
"Crypto AirDrop: Free 5,000 USDT tokens allocated to your wallet. Connect your seed phrase to claim now: https://security-google.xyz/auth",1,SOCIAL_ENGINEERING
"Crypto AirDrop: Free 5,000 USDT tokens allocated to your wallet. Connect your seed phrase to claim now: https://security-pta.cam/auth",1,SOCIAL_ENGINEERING
Parcel Delivery Failed: Your shipment package has a pending customs clearance fee of $4.50. Pay immediately to release: https://security-coinbase.loan/auth,1,SOCIAL_ENGINEERING
"Security Alert: A new device logged into your Microsoft profile from Moscow. If this was not you, confirm your credentials immediately: https://security-easypaisa.link/auth",1,SOCIAL_ENGINEERING
"IT Support: System maintenance in progress. Do not verify with management, reply with your login password and 2FA code right now.",1,SOCIAL_ENGINEERING
"Crypto AirDrop: Free 5,000 USDT tokens allocated to your wallet. Connect your seed phrase to claim now: https://security-bankofamerica.info/auth",1,SOCIAL_ENGINEERING
"Crypto AirDrop: Free 5,000 USDT tokens allocated to your wallet. Connect your seed phrase to claim now: https://security-whatsapp.tk/auth",1,SOCIAL_ENGINEERING
URGENT: Your PayPal account has been suspended due to suspicious activity. Verify now: https://security-hec.cam/auth or face permanent deletion.,1,SOCIAL_ENGINEERING
"Executive Wire Request: Transfer $12,500 to our contractor account right now before close of business. Keep this strictly confidential.",1,SOCIAL_ENGINEERING
Parcel Delivery Failed: Your shipment package has a pending customs clearance fee of $4.50. Pay immediately to release: https://security-whatsapp.club/auth,1,SOCIAL_ENGINEERING
"Crypto AirDrop: Free 5,000 USDT tokens allocated to your wallet. Connect your seed phrase to claim now: https://security-binance.link/auth",1,SOCIAL_ENGINEERING
HR Department Notice: Your monthly payroll bonus and stipend has been approved. Download the employee verification document: https://security-binance.live/auth,1,SOCIAL_ENGINEERING
Final Warning: Internal Revenue / FIA penalty of $500 issued against your CNIC. Pay fine within 2 hours to avoid arrest warrant: https://security-hbl.tk/auth,1,SOCIAL_ENGINEERING
URGENT: Your Meezan account has been suspended due to suspicious activity. Verify now: https://security-nayapay.live/auth or face permanent deletion.,1,SOCIAL_ENGINEERING
Help me please! I lost my phone in an emergency accident and I am stranded at the hospital. Send money to my account immediately!,1,SOCIAL_ENGINEERING
